text,sentiment,priority,category
¿Pueden enviarme el catálogo actualizado por email?,neutro,media,solicitud
Estoy buscando el manual en PDF del modelo A33,neutro,media,solicitud
¿Se puede realizar la entrega un sábado por la mañana?,neutro,media,solicitud
Me gustaría modificar el contenido del pedido antes del despacho,neutro,media,solicitud
¿Tienen opciones de financiación disponibles para empresas?,neutro,media,solicitud
Necesito con urgencia una copia del contrato firmado,neutro,alta,solicitud
¿Pueden enviarme el pedido hoy mismo? Es importante,neutro,alta,solicitud
Requiero la confirmación del pago antes de las 14:00,neutro,alta,solicitud
Solicito el alta inmediata del servicio para un cliente,neutro,alta,solicitud
¿Podrían aclararme si el producto viene con accesorios incluidos?,neutro,media,solicitud
Me gustaría saber si puedo devolver el artículo sin coste adicional,neutro,media,solicitud
¿El envío incluye seguro por pérdida?,neutro,media,solicitud
¿Qué documentos necesito para la garantía?,neutro,media,solicitud
Estoy analizando su empresa como posible proveedor para 2025,neutro,baja,solicitud
¿Tienen alguna presentación institucional que pueda revisar?,neutro,baja,solicitud
Quisiera programar una reunión para conocer más sobre sus servicios,neutro,baja,solicitud
Me interesaría recibir información para una posible colaboración futura,neutro,baja,solicitud
No funciona el código de descuento y ya hice la compra,negativo,alta,queja
Recibí un producto distinto al que pedí y necesito el correcto cuanto antes,negativo,alta,queja
"Llamé varias veces y nadie contesta, esto es inaceptable",negativo,alta,queja
El sistema me dejó sin confirmar el pedido y ya me cobraron,negativo,alta,queja
El paquete llegó mojado y la caja estaba rota,negativo,media,queja
Me registré en la web pero no me deja acceder a mi cuenta,negativo,media,queja
El servicio de mensajería dejó el pedido tirado en el portal,negativo,media,queja
Intenté cancelar el pedido pero el botón no funcionaba,negativo,media,queja
No me gustó el tono del operador que me atendió,negativo,baja,queja
El diseño del empaque no se corresponde con las fotos,negativo,baja,queja
Quiero felicitarles por el excelente embalaje del producto,positivo,baja,otro
"Todo el proceso fue perfecto, muchas gracias",positivo,baja,otro
Ha sido una gran experiencia comprar con ustedes,positivo,baja,otro
Agradezco mucho la rapidez en la atención al cliente,positivo,baja,otro
Gracias por resolver tan rápido mi consulta sobre la garantía,positivo,baja,otro
"Solo quería darles las gracias, el pedido llegó antes de lo previsto",positivo,baja,otro
"Su plataforma es muy intuitiva, felicitaciones al equipo",positivo,baja,otro
La persona que me atendió fue muy amable y eficiente,positivo,baja,otro
"El producto es de excelente calidad, estoy muy satisfecho",positivo,baja,otro
"El envío llegó en perfectas condiciones, gracias por eso",positivo,baja,otro
"El servicio de atención al cliente fue excepcional, me ayudaron con todo",positivo,baja,otro
"Me encanta la facilidad de uso de su sitio web, es muy amigable",positivo,baja,otro
"El producto llegó antes de lo esperado, muy contento con la compra",positivo,baja,otro
El equipo de soporte fue muy profesional y resolvió mi problema rápidamente,positivo,baja,otro
"Estoy muy contento con su servicio, los recomendaré",positivo,baja,otro
"Me sorprendió gratamente la calidad del producto, superó mis expectativas",positivo,baja,otro
El producto llegó en perfectas condiciones y antes de lo esperado,positivo,baja,otro
"El servicio postventa ha sido excelente, me ayudaron rápidamente",positivo,baja,otro
"Me encanta la variedad de productos que ofrecen, seguiré comprando",positivo,baja,otro
"El proceso de compra es muy sencillo y rápido, lo aprecio",positivo,baja,otro
"El seguimiento del pedido fue muy útil, gracias por eso",positivo,baja,otro
"Me gusta mucho su atención al cliente, siempre resuelven mis dudas",positivo,baja,otro
"El producto llegó antes de lo esperado, muy satisfecho",positivo,baja,otro
Estoy interesado en distribuir sus productos en Latinoamérica,neutro,baja,comercial
¿Tienen precios especiales para grandes volúmenes?,neutro,media,comercial
Nos gustaría conocer sus condiciones para revendedores,neutro,media,comercial
¿Podrían enviarnos una propuesta comercial para analizar con dirección?,neutro,media,comercial
Quisiéramos recibir una presentación de sus soluciones para empresas,neutro,baja,comercial
Me gustaría hablar con alguien del equipo comercial sobre una posible alianza,neutro,media,comercial
Solicito información para integrar sus productos a nuestro catálogo online,neutro,media,comercial
Necesitamos una cotización urgente para un pedido de más de 100 unidades,neutro,alta,comercial
¿Es posible concertar una reunión para evaluar su solución en nuestro negocio?,neutro,media,comercial
Estamos explorando proveedores para el próximo trimestre y ustedes son una opción fuerte,neutro,baja,comercial
¿Pueden enviarme un dossier con sus productos más destacados?,neutro,baja,comercial
Me gustaría recibir información sobre sus servicios de soporte técnico,neutro,media,comercial
¿Tienen algún programa de fidelización para empresas?,neutro,baja,comercial
¿Pueden ofrecerme una demostración de su software?,neutro,media,comercial
Estoy interesado en conocer sus políticas de sostenibilidad y responsabilidad social,neutro,baja,comercial
¿Tienen algún caso de éxito que puedan compartir?,neutro,baja,comercial
Me gustaría saber si ofrecen formación para el uso de sus productos,neutro,media,comercial
¿Pueden enviarme información sobre sus garantías extendidas?,neutro,media,comercial
"Estoy muy satisfecho con su producto, ¿pueden enviarme otro igual?",positivo,media,solicitud
"Gracias por la atención, quisiera confirmar si puedo cambiar la talla",positivo,media,solicitud
"Todo perfecto con el pedido, ¿puedo añadir otro artículo antes del envío?",positivo,media,solicitud
"Estamos muy interesados en su oferta, felicitaciones por la propuesta",positivo,media,comercial
"Nos ha encantado su plataforma, quisiéramos hablar sobre una alianza",positivo,media,comercial
Quiero agradecerles y además solicitar información sobre precios mayoristas,positivo,media,comercial
"Ha sido un gusto tratar con ustedes, ¿pueden mandarme el catálogo completo?",positivo,media,comercial
"El producto llegó en perfectas condiciones, solo necesito la guía de instalación",positivo,media,solicitud
"Estoy muy satisfecho con la compra, ¿pueden enviarme el manual de usuario?",positivo,media,solicitud
"Todo ha ido muy bien, ¿pueden confirmar si el envío incluye seguro?",positivo,media,solicitud
"Me gustaría recibir más información sobre sus servicios, estamos considerando una colaboración",positivo,alta,comercial
"Gracias por la atención, ¿pueden enviarme el contrato para revisarlo?",positivo,alta,solicitud
"Estoy muy contento con el servicio, ¿pueden enviarme la factura del pedido?",positivo,media,solicitud
"El producto llegó en excelentes condiciones, solo quería confirmar si tiene garantía extendida",positivo,media,solicitud
"Estoy encantado con su servicio, me interesa proponer una colaboración",positivo,alta,comercial
"Gracias por resolver todo tan rápido, ahora necesito una copia del contrato",positivo,alta,solicitud
"No encontré el instructivo, aunque no es tan urgente",negativo,baja,solicitud
"No me llegó el correo de activación, pero puedo esperar un poco más",negativo,baja,solicitud
"Estoy muy contento con el servicio, ¿pueden enviarme la guía rápida de uso?",positivo,media,solicitud
"El producto llegó en excelentes condiciones, solo quería confirmar si tiene garantía extendida",positivo,media,solicitud
"Estoy encantado con su servicio, me interesa proponer una colaboración",positivo,alta,comercial
"Gracias por resolver todo tan rápido, ahora necesito una copia del contrato",positivo,alta,solicitud
"No encontré el instructivo, aunque no es tan urgente",negativo,baja,solicitud
"No me llegó el correo de activación, pero puedo esperar un poco más",negativo,baja,solicitud
"Estoy muy contento con el servicio, ¿pueden enviarme la guía rápida de uso?",positivo,media,solicitud
"Gracias por la atención excelente, solo necesito el manual en PDF",positivo,media,solicitud
"Todo ha ido perfecto, ¿es posible recibir también la factura?",positivo,media,solicitud
"Estamos encantados con la propuesta, ¿pueden agendar una reunión comercial?",positivo,alta,comercial
"Ha sido un placer, me interesa recibir más información sobre su línea de productos",positivo,media,comercial
"Agradezco el seguimiento, quisiéramos evaluar una alianza comercial",positivo,alta,comercial
"Nos interesa mucho su modelo de negocio, felicitaciones y quedamos a la espera de un contacto",positivo,media,comercial
"El producto ha sido excelente, me gustaría revenderlo en nuestra tienda",positivo,media,comercial
"Mi pedido llegó incompleto, pero puedo esperar a la reposición",negativo,baja,solicitud
"El código promocional no funcionó, pero no es algo urgente",negativo,baja,solicitud
"El embalaje no venía sellado, aunque todo estaba correcto",negativo,baja,queja
"Algunas instrucciones estaban borrosas, pero no afecta mucho el uso",negativo,baja,queja
"La propuesta comercial no tiene sentido, sus precios están inflados",negativo,media,comercial
"Recibimos el presupuesto, pero no cumple con nuestras expectativas",negativo,media,comercial
"La reunión fue un desastre, no estaban preparados",negativo,alta,comercial
El trato del equipo comercial fue muy poco profesional,negativo,alta,comercial
"No respondieron a la solicitud de cotización, muy decepcionante",negativo,baja,comercial
"Todo bien, pero la caja llegó ligeramente dañada",positivo,baja,queja
Me gustó el producto aunque la entrega fue un poco lenta,positivo,media,queja
"La calidad es buena, pero esperaba más accesorios",positivo,media,queja
"El servicio fue correcto, pero la web es un poco confusa",positivo,media,queja
"El producto es excelente, pero la atención al cliente fue deficiente",positivo,media,queja
"El manual no está en español, pero no es grave",neutro,baja,queja
La caja venía con una pequeña abolladura,neutro,baja,queja
"El diseño no es lo que esperaba, aunque cumple",neutro,baja,queja
"El producto es bueno, pero la entrega fue lenta",neutro,media,queja
"El servicio fue correcto, pero la web es un poco confusa",neutro,media,queja
"El producto llegó con un pequeño rasguño, pero funciona bien",neutro,baja,queja
"El manual no está en español, pero puedo buscarlo online",neutro,baja,queja
"La caja venía con una pequeña abolladura, pero nada grave",neutro,baja,queja
"El diseño no es lo que esperaba, pero cumple su función",neutro,baja,queja
"El producto es bueno, pero la entrega fue lenta",neutro,media,queja
"El servicio fue correcto, pero la web es un poco confusa",neutro,media,queja
"El producto llegó con un pequeño rasguño, pero funciona bien",neutro,baja,queja
"El manual no está en español, pero puedo buscarlo online",neutro,baja,queja
"La caja venía con una pequeña abolladura, pero nada grave",neutro,baja,queja
"El diseño no es lo que esperaba, pero cumple su función",neutro,baja,queja
"El producto es bueno, pero la entrega fue lenta",neutro,media,queja
"Estoy contento con la compra, pero necesito una solución urgente para un accesorio faltante",positivo,alta,queja
"Gracias por el servicio, aunque el envío urgente no llegó a tiempo",positivo,alta,queja
"El producto es excelente, pero la atención al cliente fue deficiente",positivo,media,queja
Pedí información para distribuidores hace días y nadie respondió,negativo,baja,comercial
No he recibido el catálogo comercial solicitado,negativo,baja,comercial
El equipo comercial no me ha contactado desde la reunión,negativo,media,comercial
Solicité una cotización y no he tenido respuesta,negativo,media,comercial
El trato del equipo comercial fue muy poco profesional,negativo,alta,comercial
"El diseño es correcto, pero no me termina de convencer",neutro,baja,queja
"Todo funciona, pero esperaba una atención más personalizada",neutro,baja,queja
"Agradezco el servicio, pero el embalaje no fue el adecuado",positivo,media,queja
"Estoy satisfecho, aunque el operador fue poco amable",positivo,media,queja
"Gracias por la atención, pero me gustaría reprogramar la entrega",positivo,media,solicitud
"Todo correcto, pero me gustaría saber si hay garantía extendida",positivo,media,solicitud
"Gracias por el interés, pero no contemplamos alianzas este trimestre",positivo,media,comercial
"La propuesta es interesante, pero nos parece algo costosa",positivo,media,comercial
No fue posible agendar la reunión porque nunca respondieron,negativo,media,comercial
"La presentación institucional fue poco clara, esperaba más",negativo,media,comercial
"Gracias por la rapidez, pero necesito confirmar una duda importante",positivo,alta,solicitud
"Estoy contento con la atención, pero necesito resolver un problema urgente",positivo,alta,queja
"Todo llegó, aunque el embalaje estaba un poco dañado.",neutro,media,queja
"No tuve ningún problema con el servicio, todo funcionó como esperaba.",neutro,baja,otro
"El pedido fue entregado correctamente, sin nada destacable.",neutro,baja,otro
"La compra fue normal, sin inconvenientes.",neutro,baja,otro
"Todo salió bien, aunque no superó mis expectativas.",neutro,baja,otro
"No tuve ningún problema, todo perfecto.",positivo,baja,otro
"No tengo quejas, todo correcto.",positivo,baja,otro
"Gracias por nada, pésimo servicio.",negativo,alta,queja
"Todo llegó correctamente, pero sin más. Nada destacable.",neutro,baja,otro
"La experiencia fue aceptable, aunque esperaba algo más rápido.",neutro,media,otro
"Funcionó, aunque el proceso fue un poco engorroso.",neutro,media,otro
"Sin inconvenientes, pero tampoco quedé impresionado.",neutro,baja,otro
"No tuve problemas, pero tampoco destacaría el servicio.",neutro,baja,otro
"Recibí el pedido, aunque el embalaje venía algo roto.",neutro,media,queja
"El producto es justo lo que esperaba, sin sorpresas.",neutro,baja,otro
"Todo correcto, aunque tuve que esperar un poco más de lo previsto.",neutro,media,otro
"La atención fue cordial, pero no resolvió mi problema completamente.",neutro,media,solicitud
"No fue una mala experiencia, pero no repetiría.",neutro,media,otro
"Gracias por el seguimiento, aunque finalmente no lo necesitaba.",neutro,baja,solicitud
"Recibí todo lo pedido, aunque con un pequeño retraso.",neutro,media,queja
"Todo llegó a tiempo, aunque el repartidor no fue muy amable.",neutro,media,queja
"En general bien, aunque el producto parecía usado.",neutro,media,queja
"Sin errores en el pedido, pero esperaba una mejor presentación.",neutro,media,otro
Me gustaría que este asunto se resuelva pronto.,neutro,media,solicitud
"Cuando puedan, necesito la información.",neutro,baja,solicitud
"No es urgente, pero agradecería respuesta rápida.",neutro,media,solicitud
"Es importante, pero puedo esperar un poco.",neutro,media,solicitud
"Necesito ayuda con mi pedido, cuando puedan.",neutro,baja,solicitud
¿Podrían darme una solución para esto lo antes posible?,neutro,alta,solicitud
"Estoy a la espera de una respuesta, no es algo crítico.",neutro,baja,solicitud
"Por favor, necesito que esto se atienda hoy.",neutro,alta,solicitud
"No hay prisa, solo quisiera confirmar algunos detalles.",neutro,baja,solicitud
"Este asunto requiere atención, pero no inmediata.",neutro,media,solicitud
Quisiera más información sobre sus servicios y tarifas.,neutro,baja,comercial
No estoy satisfecho con la atención recibida.,negativo,media,queja
¿Pueden enviarme el catálogo y los precios actuales?,neutro,baja,comercial
"El producto llegó dañado, ¿qué debo hacer para cambiarlo?",negativo,media,solicitud
"Estoy interesado en su oferta, ¿cómo puedo proceder?",neutro,baja,comercial
No recibí el manual y necesito instrucciones para usarlo.,negativo,media,solicitud
Quiero reportar un problema con mi pedido.,negativo,alta,queja
Solicito detalles sobre la política de devolución.,neutro,media,solicitud
¿Me pueden ayudar con una cotización para mi empresa?,neutro,baja,comercial
Me gustaría saber si tienen promociones vigentes.,neutro,baja,comercial
['Mi pedido no ha llegado y ya pasaron 10 días'],neutro,media,solicitud
['El producto vino defectuoso y nadie responde'],positivo,media,otro
['Me cobraron dos veces el mismo petición'],positivo,baja,otro
"['No recibí lo que pedí, quiero una reparación ya']",negativo,baja,solicitud
['El servicio seleccionador me ha desconocido por días'],neutro,baja,comercial
['El embalaje estaba abierto cuando llegó'],neutro,baja,comercial
['Me llegó el paquete pero con un accesorio menos'],neutro,media,solicitud
['El repartidor fue descortés'],positivo,media,queja
['No se respetó el horario de entrega'],positivo,media,queja
['La web se cae aluminio intentar pagar'],neutro,media,solicitud
['Quiero cambiar la camino de entrega'],neutro,baja,solicitud
['¿ Pueden confirmar que el producto está en stock?'],negativo,media,queja
['Solicito información sobre el proceso de devolución'],positivo,baja,otro
['¿ Tienen envío exprés a Canarias?'],neutro,media,solicitud
['Necesito la factura del instancia 10432'],negativo,media,solicitud
['Estoy interesado tuerca sus soluciones para empresas'],positivo,alta,solicitud
['Me gustaría conocer sus scrofa tarifas para distribuidores'],negativo,baja,solicitud
['¿ Ofrecen descuentos por volumen?'],neutro,media,otro
['Estoy evaluando opciones para nuestra tienda de campaña online'],positivo,baja,otro
['¿ Pueden hacer una demo del producto?'],positivo,baja,queja
['Gracias por la agudeza en el envío'],neutro,alta,comercial
['Muy a gusto con el servicio recibido'],positivo,alta,comercial
"['Excelente atención, todo llegó perfecto']",negativo,media,solicitud
"['Funcionó equipo completo tal como esperaba, alabanza']",neutro,media,comercial
['Solo quería decir que estoy muy contento con su sociedad'],positivo,media,comercial
['El producto es bueno pero llegó tarde'],negativo,media,queja
['Quisiera una copia de la garantía'],neutro,media,queja
['No cara a cara el manual en español'],negativo,media,comercial
['¿ Hay alguna proposición activa para este regla?'],neutro,media,otro
['Estoy considerando su servicio para mi organización comerical'],neutro,baja,solicitud
['Muy buena atención en el chat'],negativo,baja,queja
['Gracias por resolver mi problema tan rápido'],positivo,baja,solicitud
['No recibí el correo de confirmación'],negativo,baja,otro
['¿ Me pueden ayudar con la instalación?'],neutro,media,comercial
['Todo perfecto. Repetiré sin duda'],negativo,baja,solicitud
['El género nunca llegó y necesito una solución inmediata'],neutro,media,solicitud
['Me entregaron un artículo equivocado y no contestan el correo'],positivo,media,solicitud
['Han pasado más de 7 días y no tengo noticias del envío'],negativo,baja,solicitud
['La atención al cliente no me resuelve nada desde hace días'],neutro,media,solicitud
['Recibí un artículo usado tuerca vez de contemporáneo'],negativo,media,solicitud
['Pedí anulación y aún así me cobraron el importe completo'],neutro,media,queja
['El número de vigilancia no funciona y nadie responde'],negativo,alta,queja
"['No consigo contactar con ningún policía, es frustrante']",neutro,baja,comercial
['Su app da fallo al intentar pagar con tarjeta de expansión'],neutro,baja,otro
['Recibí una caja vacía sin el ítem dentro'],neutro,media,solicitud
['¿ Me pueden reenviar el comprobante de adquisición?'],neutro,baja,queja
['Necesito saber si puedo cancelar el petición antes del envío'],neutro,alta,queja
['¿ Es posible cambiar el método de desembolso?'],neutro,media,otro
['Solicito el número de seguimiento del pedido 87341'],positivo,media,otro
['Quiero confirmar que la garantía cubre daños por transporte'],neutro,media,solicitud
['¿ Pueden enviarme el catálogo actualizado por email?'],negativo,media,solicitud
['Estoy buscando el manual tuerca PDF del guía A33'],negativo,media,solicitud
['¿ Se puede realizar la entrega un sábado por la mañana?'],positivo,baja,otro
['Me gustaría modificar el contenido del pedido antes del despacho'],positivo,baja,comercial
['¿ Tienen opciones delaware financiación disponibles para empresas?'],positivo,baja,comercial
['Necesito con urgencia una duplicado del contrato firmado'],negativo,media,queja
['¿ Pueden enviarme el pedido hoy mismo? Es importante'],neutro,baja,solicitud
['Requiero la constatación del pago antes de las 14: 00'],positivo,media,solicitud
['Solicito el alta inmediata del taza para un cliente'],positivo,media,otro
['¿ Podrían aclararme si el producción viene con accesorios incluidos?'],positivo,media,queja
['Me gustaría cognición si puedo devolver el artículo sin coste adicional'],neutro,media,otro
['¿ El envío incluye seguro por pérdida?'],positivo,baja,solicitud
['¿ Qué documentos necesito para la garantía?'],neutro,media,otro
['Estoy analizando su empresa como probable proveedor para 2025'],negativo,media,solicitud
['¿ Tienen alguna muestra institucional que pueda revisar?'],positivo,alta,comercial
['Quisiera programar una concurrencia para conocer más sobre puerco servicios'],neutro,media,queja
['Me interesaría recibir información para una posible colaboración futura'],positivo,media,queja
['No funciona el código delaware descuento y ya hice la adquisición'],negativo,alta,otro
['Recibí un producto distinto número atómico 13 que pedí y necesito el correcto cuanto antes'],neutro,baja,queja
"['Llamé varias veces y nadie contesta, esto es inaceptable']",positivo,media,solicitud
['El sistema me dejó sin confirmar el pedido y ya me cobraron'],positivo,media,comercial
['El paquete llegó mojado y la caja de ascensor estaba rota'],negativo,baja,queja
['Me registré en la web pero no me deja acceder a mi cuenta'],positivo,baja,queja
['El orinal de mensajería dejó el pedido tirado en el portal de internet'],positivo,alta,queja
['Intenté cancelar el pedido pero el botón no funcionaba'],positivo,media,solicitud
['No me gustó el tono del pinchador que me atendió'],negativo,alta,comercial
['El diseño del empaquetado no se corresponde con las fotos'],neutro,media,queja
['Quiero felicitarles por el excelente embalaje del artículo'],neutro,media,comercial
"['Tinglado el proceso fue perfecto, muchas gracias']",neutro,media,queja
['Ha sido una gran vivencia comprar con ustedes'],positivo,media,solicitud
['Agradezco mucho la rapidez en la estar pendiente al abonado'],negativo,baja,queja
['Gracias por resolver tan rápido mi consulta sobre la garantía'],positivo,baja,comercial
"['Solo quería darles las gracias, el pedido llegó antes de lo previsto']",negativo,media,comercial
"['Su plataforma es muy intuitiva, felicitaciones al equipo']",negativo,media,solicitud
['La persona que me atendió fue muy simpático y eficiente'],positivo,alta,queja
"['El ítem es de excelente calidad, estoy muy satisfecho']",neutro,baja,solicitud
"['El envío llegó en perfectas daño, gracias por eso']",positivo,media,solicitud
"['El servicio delaware atención al cliente fue excepcional, me ayudaron con equipo completo']",negativo,baja,otro
"['Me encanta la naturalidad de uso de su sitio web, es muy amigable']",neutro,media,comercial
"['El mercadería llegó antes de lo esperado, muy bueno con la compra']",neutro,baja,queja
['El equipamiento de apoyo fue muy profesional y resolvió mi problema rápidamente'],neutro,baja,otro
"['Estoy muy contento con su servicio, los recomendaré']",neutro,alta,solicitud
"['Me sorprendió gratamente la calidad del artículo, superó mis expectativas']",positivo,alta,queja
['El producción llegó en perfectas daño y antes de lo esperado'],neutro,media,otro
"['El servicio postventa ha sido excelente, me ayudaron rápidamente']",positivo,media,solicitud
"['Me encanta la surtido de productos que ofrecen, seguiré comprando']",negativo,media,queja
"['El procedimiento de adquisición es sustancialmente sencillo y rápido, lo aprecio']",negativo,alta,solicitud
"['El seguimiento del pedido fue muy útil, gracias por eso']",neutro,alta,queja
"['Me gusta mucho su atención al cliente, siempre resuelven mis dudas']",negativo,media,solicitud
"['El producto llegó antes de lo esperado, muy satisfecho']",neutro,alta,otro
['Estoy apuesta tuerca distribuir puerco productos en Latinoamérica'],neutro,baja,solicitud
['¿ Tienen precios especiales para grandes volúmenes?'],neutro,media,comercial
['Nos gustaría conocer sus condiciones para revendedores'],negativo,baja,solicitud
['¿ Podrían enviarnos una propuesta comercial para analizar con dirección?'],positivo,baja,queja
['Quisiéramos recibir una presentación de sus soluciones para empresas'],positivo,baja,solicitud
['Me gustaría hablar con alguien del equipo comercial sobre una posible coalición'],neutro,media,solicitud
['Solicito denuncia para integrar sus productos a nuestro catálogo online'],neutro,alta,comercial
['Necesitamos una cotización urgente para un petición de más de siglo unidades'],neutro,media,queja
['¿ Es posible concertar una concurrentes para evaluar su solución en nuestro asunto?'],negativo,media,comercial
['Estamos explorando proveedores para el próximo trimestre y ustedes son una elección fortaleza'],neutro,media,queja
['¿ Pueden enviarme un dossier con sus productos más destacados?'],neutro,alta,solicitud
['Me gustaría recibir información sobre género sus servicios de soporte técnico'],negativo,baja,otro
['¿ Tienen algún currículo de fidelización para empresas?'],neutro,baja,solicitud
['¿ Pueden ofrecerme una demostración de su software?'],neutro,media,comercial
['Estoy interesado tuerca conocer sus políticas de sostenibilidad y responsabilidad social'],neutro,media,otro
['¿ Tienen algún caso de éxito que puedan compartir?'],negativo,baja,queja
['Me gustaría saber si ofrecen fundación para el uso de cerdo gruñón productos'],positivo,baja,queja
['¿ Pueden enviarme consejo sobre sus garantías extendidas?'],neutro,baja,comercial
"['Estoy muy satisfecho con su producto, ¿ pueden enviarme otro adecuado?']",negativo,baja,queja
"['Gracias por la atención, quisiera confirmar si puedo tecla de mayúsculas la talla']",positivo,baja,queja
"['Todo perfecto con el pedido, ¿ puedo añadir otro artículo periodístico antes del envío?']",negativo,baja,otro
"['Estamos muy interesados en su oferta, felicitaciones por la propuesta']",neutro,baja,comercial
"['Nos ha encantado su tarima, quisiéramos hablar sobre una alianza']",negativo,baja,queja
['Quiero agradecerles y además solicitar información sobre precios mayoristas'],positivo,media,solicitud
"['Ha sido un gusto tratar con ustedes, ¿ pueden mandarme el catálogo completo?']",positivo,media,solicitud
"['El ítem llegó en perfectas condiciones, solo necesito la guía delaware solución']",neutro,media,solicitud
"['Estoy muy satisfecho con la compra, ¿ pueden enviarme el manual de usuario?']",positivo,baja,comercial
"['Todo ha ido muy bien, ¿ pueden confirmar si el envío incluye puerta?']",positivo,alta,comercial
"['Me gustaría recibir más consejo sobre sus scrofa servicios, estamos considerando una colaboración']",negativo,baja,solicitud
"['Gracias por la investigación, ¿ pueden enviarme el contrato para revisarlo?']",neutro,media,solicitud
"['Estoy muy contento con el servicio, ¿ pueden enviarme la factura del pedido?']",neutro,baja,queja
"['El artículo llegó en excelentes daño, solo quería confirmar si tiene garantía extendida']",neutro,baja,comercial
"['Estoy encantado con su wáter, me interesa proponer una colaboración']",positivo,media,otro
"['Gracias por resolver tratamiento completo tan rápido, ahora necesito una copia del contrato']",negativo,media,solicitud
"['No encontré el instructivo, aunque no es tan urgente']",positivo,media,otro
"['No me llegó el correo de activación, pero puedo esperar con expectación un poco más']",neutro,media,queja
"['Estoy muy contento con el servicio, ¿ pueden enviarme la instrucción rápida de uso?']",neutro,media,otro
"['El producto llegó en excelentes tiempo, solo quería confirmar si tiene garantía extendida']",negativo,media,solicitud
"['Estoy encantado con su servicio, me interesa proponer una contribución']",negativo,media,solicitud
"['Gracias por resolver todo tan rápido, ahora necesito una imitación del contrato']",neutro,media,comercial
"['No encontré el instructivo, aunque no es tan urgente']",neutro,baja,solicitud
"['No me llegó el correo de activación, pero puedo permanecer un poco más']",negativo,media,solicitud
"['Estoy muy contento con el saque, ¿ pueden enviarme la guía rápida de hábito?']",negativo,media,otro
"['Gracias por la atención excelente, solo necesito el manual en PDF']",neutro,media,queja
"['Todo ha ido perfecto, ¿ es potencial recibir también la recibo?']",neutro,baja,otro
"['Estamos encantados con la propuesta, ¿ pueden agendar una asamblea comercial?']",neutro,baja,queja
"['Ha sido un gozo, me interesa recibir más denuncia sobre su trazado de productos']",positivo,media,comercial
"['Agradezco el seguimiento, quisiéramos evaluar una alianza comercial']",neutro,alta,queja
"['Nos interesa mucho su modelo de negocio, felicitaciones y quedamos a la suspensión de un intercambio']",positivo,media,queja
"['El producto ha sido excelente, me gustaría revenderlo tuerca nuestra establecimiento']",neutro,alta,comercial
